EXTERNAL,1,0.000329s
EXTERNAL,2,0.000622s
EXTERNAL,4,0.001584s
EXTERNAL,8,0.005659s
EXTERNAL,16,0.011734s
EXTERNAL,32,0.032107s
EXTERNAL,64,0.072579s
EXTERNAL,128,0.189477s
EXTERNAL,256,0.499650s
EXTERNAL,512,1.333064s
MALLOC,1,0.000533s
MALLOC,2,0.000824s
MALLOC,4,0.001695s
MALLOC,8,0.006040s
MALLOC,16,0.011679s
MALLOC,32,0.032019s
MALLOC,64,0.069838s
MALLOC,128,0.190740s
MALLOC,256,0.513280s
MALLOC,512,1.350764s
DYNAMIC,1,0.000339s
DYNAMIC,2,0.000614s
DYNAMIC,4,0.001520s
DYNAMIC,8,0.005473s
DYNAMIC,16,0.011337s
DYNAMIC,32,0.031408s
DYNAMIC,64,0.069645s
DYNAMIC,128,0.188597s
DYNAMIC,256,0.503572s
DYNAMIC,512,1.359073s
STACK,1,0.000668s
STACK,2,0.000943s
STACK,4,0.001819s
STACK,8,0.005843s
STACK,16,0.011707s
STACK,32,0.031745s
STACK,64,0.070354s
STACK,128,0.187397s
STACK,256,0.504215s
STACK,512,1.337528s
EXTERNAL,1,0.000316s
EXTERNAL,2,0.000599s
EXTERNAL,4,0.001774s
EXTERNAL,8,0.004514s
EXTERNAL,16,0.014733s
EXTERNAL,32,0.032993s
EXTERNAL,64,0.069848s
EXTERNAL,128,0.188000s
EXTERNAL,256,0.503032s
EXTERNAL,512,1.340446s
MALLOC,1,0.000515s
MALLOC,2,0.000814s
MALLOC,4,0.001864s
MALLOC,8,0.004613s
MALLOC,16,0.014746s
MALLOC,32,0.033762s
MALLOC,64,0.070310s
MALLOC,128,0.187035s
MALLOC,256,0.512369s
MALLOC,512,1.369221s
DYNAMIC,1,0.000340s
DYNAMIC,2,0.000613s
DYNAMIC,4,0.001707s
DYNAMIC,8,0.004445s
DYNAMIC,16,0.014788s
DYNAMIC,32,0.033211s
DYNAMIC,64,0.069537s
DYNAMIC,128,0.189967s
DYNAMIC,256,0.500566s
DYNAMIC,512,1.360262s
STACK,1,0.000696s
STACK,2,0.000943s
STACK,4,0.002018s
STACK,8,0.004813s
STACK,16,0.016203s
STACK,32,0.035185s
STACK,64,0.076339s
STACK,128,0.190176s
STACK,256,0.557841s
STACK,512,1.335207s
EXTERNAL,1,0.000317s
EXTERNAL,2,0.000603s
EXTERNAL,4,0.001632s
EXTERNAL,8,0.004502s
EXTERNAL,16,0.011401s
EXTERNAL,32,0.031433s
EXTERNAL,64,0.073888s
EXTERNAL,128,0.196265s
EXTERNAL,256,0.527547s
EXTERNAL,512,1.305422s
MALLOC,1,0.000513s
MALLOC,2,0.000809s
MALLOC,4,0.001848s
MALLOC,8,0.004680s
MALLOC,16,0.011372s
MALLOC,32,0.031438s
MALLOC,64,0.073845s
MALLOC,128,0.197934s
MALLOC,256,0.524886s
MALLOC,512,1.293707s
DYNAMIC,1,0.000341s
DYNAMIC,2,0.000613s
DYNAMIC,4,0.001636s
DYNAMIC,8,0.004434s
DYNAMIC,16,0.011195s
DYNAMIC,32,0.030818s
DYNAMIC,64,0.074024s
DYNAMIC,128,0.199599s
DYNAMIC,256,0.521445s
DYNAMIC,512,1.298608s
STACK,1,0.000668s
STACK,2,0.000943s
STACK,4,0.001984s
STACK,8,0.004870s
STACK,16,0.011576s
STACK,32,0.031294s
STACK,64,0.075851s
STACK,128,0.202247s
STACK,256,0.527023s
STACK,512,1.303188s
EXTERNAL,1,0.000329s
EXTERNAL,2,0.000621s
EXTERNAL,4,0.001368s
EXTERNAL,8,0.004474s
EXTERNAL,16,0.012252s
EXTERNAL,32,0.034716s
EXTERNAL,64,0.070061s
EXTERNAL,128,0.185786s
EXTERNAL,256,0.526453s
EXTERNAL,512,1.295414s
MALLOC,1,0.000519s
MALLOC,2,0.000812s
MALLOC,4,0.001518s
MALLOC,8,0.004571s
MALLOC,16,0.012290s
MALLOC,32,0.035860s
MALLOC,64,0.069617s
MALLOC,128,0.184330s
MALLOC,256,0.518283s
MALLOC,512,1.297851s
DYNAMIC,1,0.000339s
DYNAMIC,2,0.000614s
DYNAMIC,4,0.001304s
DYNAMIC,8,0.004277s
DYNAMIC,16,0.011981s
DYNAMIC,32,0.034041s
DYNAMIC,64,0.071335s
DYNAMIC,128,0.187101s
DYNAMIC,256,0.521277s
DYNAMIC,512,1.296092s
STACK,1,0.000719s
STACK,2,0.000974s
STACK,4,0.001659s
STACK,8,0.004700s
STACK,16,0.012324s
STACK,32,0.034778s
STACK,64,0.069213s
STACK,128,0.182780s
STACK,256,0.518780s
STACK,512,1.287604s
EXTERNAL,1,0.000320s
EXTERNAL,2,0.000602s
EXTERNAL,4,0.001115s
EXTERNAL,8,0.004962s
EXTERNAL,16,0.012084s
EXTERNAL,32,0.032524s
EXTERNAL,64,0.070315s
EXTERNAL,128,0.189403s
EXTERNAL,256,0.526316s
EXTERNAL,512,1.319429s
MALLOC,1,0.000513s
MALLOC,2,0.000807s
MALLOC,4,0.001306s
MALLOC,8,0.005189s
MALLOC,16,0.012019s
MALLOC,32,0.032093s
MALLOC,64,0.071072s
MALLOC,128,0.191211s
MALLOC,256,0.523687s
MALLOC,512,1.321848s
DYNAMIC,1,0.000340s
DYNAMIC,2,0.000613s
DYNAMIC,4,0.001103s
DYNAMIC,8,0.004892s
DYNAMIC,16,0.011784s
DYNAMIC,32,0.031557s
DYNAMIC,64,0.070421s
DYNAMIC,128,0.190553s
DYNAMIC,256,0.523123s
DYNAMIC,512,1.339262s
STACK,1,0.000702s
STACK,2,0.001028s
STACK,4,0.001471s
STACK,8,0.005284s
STACK,16,0.012200s
STACK,32,0.032879s
STACK,64,0.070742s
STACK,128,0.192911s
STACK,256,0.519415s
STACK,512,1.315716s
EXTERNAL,1,0.000318s
